#,試算方法：R7年度奇数月6回調定の金額別度数分布に各料金案を当てはめて再計算（税込・年額）
#,通常算定・基本料金帯は水量から再計算、特殊算定（日割・異動等）は現行調定額×改定率
料金案,基本(5㎥まで),6〜10㎥,11〜50㎥,51㎥〜,漁業集落排水(円),公共下水道(円),合計(円),対現行 増収額(円),増減率(%)
現行,1108.8,40.7,191.4,220.0,7373849,35613283,42987132,0,0.00
案1（集計ブック／約+10%）,1220,45.5,211.5,242,8136688,39278957,47415645,4428513,10.30
参考 一律+15%,1274.5,46.8,220.1,253.0,8478175,40946937,49425112,6437980,14.98
参考 一律+20%,1330.0,48.8,229.7,264.0,8847255,42728907,51576162,8589030,19.98

# 参考：集計ブック上の案1集計値（奇数㎥を2㎥ブロックに切上げ）
漁業集落排水 案1（ブック値）,,,,,8218319,,,844470,11.45
漁業集落排水 案1（同一算定方法で再計算）,,,,,8136688,,,762839,10.35
