#,料金案は条例別表と同じ税抜単価で設計し、税込は条例第17条により税抜額に消費税を加算して1円未満を切り捨てて算定
#,"令和7年度 年間全件（12か月・9,220件・44,578,708円）ベースの平年度試算。施行日が未定のため初年度影響額は別途算定が必要"
#,"日割・異動等（2事業計 587件・2,445,216円）は現行額に平均改定率を乗じる簡便法で扱っている"
#,参考経費回収率はR6決算統計（税抜）の使用料に増収分（税抜）を加算し、汚水処理費を据え置いた静態試算
料金案,基本使用料(税抜),6〜10㎥(税抜),11〜50㎥(税抜),51㎥〜(税抜),基本(税込),6〜10㎥(税込),11〜50㎥(税込),51㎥〜(税込),6〜10㎥の改定率(%),11〜50㎥の改定率(%),51㎥〜の改定率(%),単価差縮小率(%),漁集 調定額(円),公共 調定額(円),合計(円),平年度増収額(円・税込),平均増収率(%),平年度増収額(円・税抜),参考経費回収率 公共(%),参考経費回収率 漁集(%)
現行,1008,37,174,200,1108.8,40.7,191.4,220.0,+0.0,+0.0,+0.0,0.0,"7,419,516","37,159,192","44,578,708",0,+0.00,0,49.9,36.9
参考 平均増収率 約5%,1008,55,182,210,1108.8,60.5,200.2,231.0,+48.6,+4.6,+5.0,13.1,"7,795,977","38,996,650","46,792,628","2,213,919",+4.97,"2,012,654",52.4,38.6
中心案（平均増収率 約10%）,1008,73,190,220,1108.8,80.3,209.0,242.0,+97.3,+9.2,+10.0,26.3,"8,172,217","40,832,991","49,005,207","4,426,499",+9.93,"4,024,090",54.8,40.3
参考 平均増収率 約15%,1008,82,205,230,1108.8,90.2,225.5,253.0,+121.6,+17.8,+15.0,32.8,"8,586,102","42,734,262","51,320,364","6,741,656",+15.12,"6,128,778",57.4,42.3
第2段階 参考,1008,109,207,240,1108.8,119.9,227.7,264.0,+194.6,+19.0,+20.0,52.6,"8,944,717","44,587,638","53,532,355","8,953,646",+20.09,"8,139,679",59.9,43.9
