#,経費回収率は令和7年度決算の公表値49.5%に平均増収率を乗じた相対改善（汚水処理費は令和7年度水準で据置）
#,事業別の公共・漁集はR6決算統計（税抜）の使用料に増収分（税抜）を加算したもので、算定年度が異なるため合計値とは一致しない
#,繰出基準の使用料対象資本費がゼロのままのため基準内繰入金は全案で不変
料金案,漁集 調定額(円),公共 調定額(円),合計(円),増収額(円・税込),増収率(%),経費回収率(%),同 公共(%),同 漁集(%),公共 基準内繰入金(千円),漁集 基準内繰入金(千円),増収額(千円・税抜)
現行,"7,408,318","37,159,192","44,567,510",0,0.00,49.5,49.9,36.9,"88,136","11,272",0
約5%改善,"7,784,767","38,973,622","46,758,390","2,190,879",4.92,51.9,52.3,38.6,"88,136","11,272","1,992"
A案（約10%改善）,"8,216,095","40,833,036","49,049,131","4,481,621",10.06,54.5,54.8,40.6,"88,136","11,272","4,074"
B案（約10%改善）,"8,180,618","40,865,811","49,046,430","4,478,920",10.05,54.5,54.9,40.4,"88,136","11,272","4,072"
約15%改善（上限）,"8,574,869","42,664,139","51,239,008","6,671,497",14.97,56.9,57.3,42.3,"88,136","11,272","6,065"
第2段階（参考）,"8,933,471","44,494,507","53,427,978","8,860,468",19.88,59.3,59.8,43.9,"88,136","11,272","8,055"
