#,公共下水道 R7年度 金額別度数分布／出典：【R7】使用料集計ブック R7公共 (件数) 
#,区分：通常算定＝金額から水量が一意に定まる／基本料金帯＝1〜10㎥のいずれでも同額で水量不詳／特殊算定＝日割・異動等で料金式に一致しない
#,案1調定額は、通常算定・基本料金帯は水量から再計算、特殊算定は現行調定額×1.10で算定
2か月水量(㎥),現行請求額(円),区分,5月,7月,9月,11月,1月,3月,件数計,現行調定額(円),案1請求額(円),案1調定額(円)
55,9323,通常算定,10,6,7,8,10,9,50,466150,10297,514850
56,9515,通常算定,2,11,8,10,5,9,45,428175,10509,472905
57,9706,通常算定,5,2,7,4,5,3,26,252356,10720,278720
54,9848,特殊算定,1,,1,1,,,3,29544,現行×1.10,32498
,9861,特殊算定,,1,,,,,1,9861,現行×1.10,10847
58,9897,通常算定,6,5,4,2,2,5,24,237528,10932,262368
59,10089,通常算定,5,8,5,4,2,6,30,302670,11143,334290
60,10280,通常算定,5,3,2,3,5,11,29,298120,11355,329295
61,10472,通常算定,2,5,1,5,,2,15,157080,11566,173490
62,10663,通常算定,2,2,2,7,4,5,22,234586,11778,259116
63,10854,通常算定,1,8,4,2,2,3,20,217080,11989,239780
,11024,特殊算定,,,,,,1,1,11024,現行×1.10,12126
64,11046,通常算定,2,1,1,,2,3,9,99414,12201,109809
65,11237,通常算定,9,2,2,1,2,2,18,202266,12412,223416
66,11429,通常算定,3,2,6,3,2,2,18,205722,12624,227232
62,11608,特殊算定,,,,,1,,1,11608,現行×1.10,12769
67,11620,通常算定,2,2,2,3,5,1,15,174300,12835,192525
68,11811,通常算定,,3,,1,,4,8,94488,13047,104376
69,12003,通常算定,,1,1,3,1,3,9,108027,13258,119322
70,12194,通常算定,,,,,,2,2,24388,13470,26940
71,12386,通常算定,1,,1,2,,,4,49544,13681,54724
72,12577,通常算定,1,,3,2,1,1,8,100616,13893,111144
73,12768,通常算定,,3,3,0,1,2,9,114912,14104,126936
74,12960,通常算定,1,2,3,3,1,1,11,142560,14316,157476
,13148,特殊算定,,1,,,,,1,13148,現行×1.10,14463
75,13151,通常算定,2,,2,2,,2,8,105208,14527,116216
,13295,特殊算定,,,,1,,,1,13295,現行×1.10,14625
76,13343,通常算定,,,,3,2,1,6,80058,14739,88434
77,13534,通常算定,2,,,2,,,4,54136,14950,59800
78,13725,通常算定,,1,,,1,,2,27450,15162,30324
79,13917,通常算定,,,,1,1,,2,27834,15373,30746
80,14108,通常算定,,2,,,,2,4,56432,15585,62340
81,14300,通常算定,2,1,1,,,,4,57200,15796,63184
82,14491,通常算定,1,,3,2,2,1,9,130419,16008,144072
83,14682,通常算定,2,,1,,1,,4,58728,16219,64876
84,14874,通常算定,,2,,,,,2,29748,16431,32862
85,15065,通常算定,,1,1,,1,,3,45195,16642,49926
86,15257,通常算定,1,,,1,1,1,4,61028,16854,67416
87,15448,通常算定,1,,,2,,,3,46344,17065,51195
88,15639,通常算定,,2,,,,1,3,46917,17277,51831
89,15831,通常算定,,,1,1,,,2,31662,17488,34976
90,16022,通常算定,,,1,,,,1,16022,17700,17700
91,16214,通常算定,,1,,,,,1,16214,17911,17911
92,16405,通常算定,,,,1,1,,2,32810,18123,36246
93,16596,通常算定,,,,,,1,1,16596,18334,18334
94,16788,通常算定,,,,,,1,1,16788,18546,18546
95,16979,通常算定,,,,,,1,1,16979,18757,18757
87,17108,特殊算定,1,,,,,,1,17108,現行×1.10,18819
96,17171,通常算定,1,1,1,,,,3,51513,18969,56907
88,17328,特殊算定,,1,,,,,1,17328,現行×1.10,19061
97,17362,通常算定,,1,,1,,,2,34724,19180,38360
98,17553,通常算定,,,,1,,,1,17553,19392,19392
99,17745,通常算定,,,,,1,,1,17745,19603,19603
100,17936,通常算定,,,,,1,1,2,35872,19815,39630
101,18156,通常算定,1,,,,1,2,4,72624,20057,80228
103,18596,通常算定,1,,,,,,1,18596,20541,20541
104,18816,通常算定,,,2,,,,2,37632,20783,41566
106,19256,通常算定,,,,,,1,1,19256,21267,21267
99,19748,特殊算定,,,1,,,,1,19748,現行×1.10,21723
111,20356,通常算定,,,,1,,,1,20356,22477,22477
102,20408,特殊算定,,,,1,,,1,20408,現行×1.10,22449
103,20628,特殊算定,,,,,,1,1,20628,現行×1.10,22691
113,20796,通常算定,,,,,,1,1,20796,22961,22961
114,21016,通常算定,,,,,,1,1,21016,23203,23203
116,21456,通常算定,,,,,1,,1,21456,23687,23687
120,22336,通常算定,,,,1,1,,2,44672,24655,49310
123,22996,通常算定,,,,,1,1,2,45992,25381,50762
118,23928,特殊算定,,,,,,1,1,23928,現行×1.10,26321
129,24316,通常算定,,1,,1,,,2,48632,26833,53666
131,25196,通常算定,1,1,,1,,,3,75588,27801,83403
134,25416,通常算定,,,,1,1,,2,50832,28043,56086
135,25636,通常算定,,,1,,,,1,25636,28285,28285
136,25856,通常算定,,1,,,,,1,25856,28527,28527
138,26296,通常算定,1,,,,,,1,26296,29011,29011
139,26516,通常算定,,1,,,,,1,26516,29253,29253
140,26736,通常算定,,1,2,,,,3,80208,29495,88485
131,26788,特殊算定,,1,,1,,,2,53576,現行×1.10,58934
132,27008,特殊算定,,,1,,,,1,27008,現行×1.10,29709
145,27836,通常算定,,,,,,1,1,27836,30705,30705
148,28496,通常算定,,1,,,,,1,28496,31431,31431
143,29428,特殊算定,1,,,,,,1,29428,現行×1.10,32371
159,30916,通常算定,,,,,1,,1,30916,34093,34093
155,32068,特殊算定,,,,,1,,1,32068,現行×1.10,35275
167,32676,通常算定,,1,,,,,1,32676,36029,36029
173,33996,通常算定,,,1,,,,1,33996,37481,37481
174,34216,通常算定,,,,1,,,1,34216,37723,37723
178,35096,通常算定,1,,,,,,1,35096,38691,38691
194,38616,通常算定,,,,1,,1,2,77232,42563,85126
205,41036,通常算定,,,,,1,,1,41036,45225,45225
426,42796,通常算定,,1,,,,,1,42796,47161,47161
219,44116,通常算定,1,,,,,,1,44116,48613,48613
442,44556,通常算定,,,,,,1,1,44556,49097,49097
227,45876,通常算定,1,,,,,,1,45876,50549,50549
229,48348,特殊算定,,,1,,,,1,48348,現行×1.10,53183
239,48516,通常算定,,,1,,,,1,48516,53453,53453
243,49396,通常算定,,,1,,,,1,49396,54421,54421
250,50936,通常算定,,1,,,,,1,50936,56115,56115
268,54896,通常算定,1,,,,,,1,54896,60471,60471
274,56216,通常算定,,,,1,,,1,56216,61923,61923
281,57756,通常算定,,,,,1,,1,57756,63617,63617
288,59296,通常算定,,,,,,1,1,59296,65311,65311
294,60616,通常算定,,1,,,,,1,60616,66763,66763
296,61056,通常算定,,,,,1,,1,61056,67247,67247
305,63036,通常算定,,1,,1,,1,3,189108,69425,208275
308,63696,通常算定,,,1,,,,1,63696,70151,70151
425,89436,通常算定,1,,,,,,1,89436,98465,98465
475,204936,通常算定,,,,1,1,1,3,614808,225515,676545
500,215936,通常算定,1,1,1,,,,3,647808,237615,712845
503,108628,特殊算定,,,,,1,,1,108628,現行×1.10,119491
521,112588,特殊算定,,,,,,1,1,112588,現行×1.10,123847
536,115888,特殊算定,1,,,,,,1,115888,現行×1.10,127477
561,121388,特殊算定,,,,,,1,1,121388,現行×1.10,133527
627,135908,特殊算定,,1,,,,,1,135908,現行×1.10,149499
628,136128,特殊算定,,,,1,,,1,136128,現行×1.10,149741
668,137228,特殊算定,,,1,,,,1,137228,現行×1.10,150951
649,140748,特殊算定,1,,,,,,1,140748,現行×1.10,154823
659,142948,特殊算定,,1,,,,,1,142948,現行×1.10,157243
749,162748,特殊算定,,,,1,,,1,162748,現行×1.10,179023
766,166488,特殊算定,,,,,1,,1,166488,現行×1.10,183137
合計,,,,,,,,,7641,35613283,,39278957
