#,調定額ベースの平均増収率が約10%になる前提で、6〜10㎥をどこまで引き上げるかを比較（税抜単価）
#,"基本使用料は1,008円で据置、51㎥〜は220円（+10.0%）で固定。11〜50㎥は目標増収率から逆算して整数に丸めた"
#,「参考：174円まで引上げ」は11〜50㎥が6〜10㎥を下回る逆転体系になるため、実施案ではなく比較の端点として示す
水準,6〜10㎥(税抜),6〜10㎥(税込),6〜10㎥の改定率(%),単価差縮小率(%),11〜50㎥(税抜),11〜50㎥の改定率(%),51㎥〜(税抜),平均増収率(%),月5㎥,月8㎥,月10㎥,月15㎥,月20㎥,月30㎥,月50㎥,月100㎥
縮小なし,37,40.7,+0.0,0.0,214,+23.0,220,+9.89,+0.0,+0.0,+0.0,+9.7,+13.6,+17.1,+19.6,+14.3
弱い縮小,55,60.5,+48.6,13.1,202,+16.1,220,+9.91,+0.0,+4.8,+7.5,+11.1,+12.6,+13.9,+14.8,+12.2
中心案,73,80.3,+97.3,26.3,190,+9.2,220,+9.93,+0.0,+9.7,+15.1,+12.6,+11.6,+10.7,+10.1,+10.0
強い縮小,100,110.0,+170.3,46.0,172,-1.1,220,+9.96,+0.0,+16.9,+26.4,+14.8,+10.1,+5.9,+2.9,+6.8
参考：174円まで引上げ,174,191.4,+370.3,100.0,122,-29.9,220,+9.90,+0.0,+36.7,+57.4,+20.6,+5.6,-7.6,-17.1,-2.2
